host_city_canonical,year_month,avg_temp_c,sum_cdd_c,sum_hdd_c,avg_rh_pct,sum_precip_hundredths_mm,day_station_rows
Boston,2022-07,23.664265232974888,1500.5655999999997,3.7443,68.27715161290321,36742.8,279
Boston,2022-08,24.101111111111102,1618.9217,1.893,72.6002860215054,47073.20000000002,279
Boston,2022-09,18.219407407407417,320.2899999999999,353.6344000000001,75.66659666666672,105399.20000000001,270
Boston,2022-10,12.661612903225805,11.538799999999998,1593.9882999999998,77.51487634408598,106514.70000000001,279
Boston,2022-11,8.470407407407409,29.9025,2689.727799999999,67.71357851851852,61788.799999999996,270
Boston,2022-12,2.456917562724014,0.0,4436.851100000006,69.42311397849461,104281.79999999996,279
Boston,2023-01,3.5823297491039403,0.0,4107.349100000004,77.60022114695343,160242.4999999999,279
Boston,2023-02,1.5886507936507939,0.0,4230.0896,64.46499761904761,27590.600000000002,252
Boston,2023-03,4.578566308243729,0.0,3833.1757999999986,63.226609677419326,84213.2,279
Boston,2023-04,10.931259259259264,42.29580000000001,2039.552600000001,64.58516444444444,65977.1,270
Boston,2023-05,13.7888888888889,19.4184,1288.5948000000003,59.55578960573474,77004.9,279
Boston,2023-06,18.169555555555565,368.17120000000017,408.8421999999999,78.50484925925925,76411.9,270
Boston,2023-07,23.80283154121865,1528.354,0.2856,80.48526917562727,144373.70000000004,279
Boston,2023-08,20.954229390681004,765.9592999999999,32.508799999999994,77.39466989247308,102607.1,279
Boston,2023-09,19.002962962962947,576.6335999999999,397.4902999999998,80.65336,138263.69999999995,270
Boston,2023-10,13.86010752688172,46.0218,1298.6275999999998,78.04731577060933,63460.69999999999,279
Boston,2023-11,5.426370370370371,0.0,3485.216999999999,67.48001851851853,45305.00000000001,270
Boston,2023-12,4.6191756272401445,0.0,3827.147600000002,76.30321326164874,141019.49999999994,279
Boston,2024-01,0.6312544802867383,0.0,4935.577799999999,71.77177132616488,145608.99999999994,279
Boston,2024-02,1.2747509578544074,0.0,4434.171800000001,65.33677777777775,41908.60000000002,261
Boston,2024-03,6.091577060931901,0.0,3417.1909999999993,66.7389910394265,181340.79999999993,279
Boston,2024-04,9.267999999999992,2.7076000000000002,2452.9681,65.74896740740746,81420.20000000001,270
Boston,2024-05,15.509390681003577,155.65769999999998,942.4179000000001,76.52062401433687,121710.90000000002,279
Boston,2024-06,20.82455555555555,777.0687999999997,98.9797,72.81985555555556,83178.59999999999,270
Boston,2024-07,24.0131899641577,1591.558999999999,2.0082,78.90699534050178,82087.00000000003,279
