MARKET,spend_domain,year_month,spend_amount,trans_count,brand_count
Boston,Energy,2023-07,39780977.3616,875832.0246999998,45
Boston,Food,2023-07,1439614.7346,67420.1496,24
Boston,Lodging,2023-07,1194871.6172000002,4476.5866,8
Boston,Energy,2023-08,39401813.04629999,857784.6746,46
Boston,Food,2023-08,1311865.1981000002,68399.75159999999,23
Boston,Lodging,2023-08,1126813.1235000002,4789.658,8
Boston,Energy,2023-09,36866503.861799985,810188.0428000002,45
Boston,Food,2023-09,1373648.3575999998,68311.4019,25
Boston,Lodging,2023-09,986406.2208,4056.1877000000004,8
Boston,Energy,2023-10,37391055.28530001,837946.5716000003,47
Boston,Food,2023-10,1464517.1068000002,71596.82750000001,24
Boston,Lodging,2023-10,1141839.7276,4976.0353,9
Boston,Energy,2023-11,37967912.84220002,835172.8761000001,46
Boston,Food,2023-11,1410036.0274999999,66427.4896,23
Boston,Lodging,2023-11,1131813.5099,4662.3964,8
Boston,Energy,2023-12,42378434.060100004,890716.7540000002,47
Boston,Food,2023-12,1401083.2472000006,69193.6726,24
Boston,Lodging,2023-12,851243.4794999999,4033.3189,8
Boston,Energy,2024-01,34238085.62150001,788504.5315000004,43
Boston,Food,2024-01,1402428.0913,67561.84790000001,24
Boston,Lodging,2024-01,838223.2530999999,4408.096100000001,9
Boston,Energy,2024-02,32960333.647800006,761339.0166000001,44
Boston,Food,2024-02,1273890.9346000003,64768.207699999984,22
Boston,Lodging,2024-02,1054485.6912,4722.6868,8
Boston,Energy,2024-03,36090958.409099996,829283.8378000001,43
Boston,Food,2024-03,1388861.0719000003,74996.36059999999,26
Boston,Lodging,2024-03,1146905.9169,4646.7005,8
Boston,Energy,2024-04,35103235.52310001,817121.5896000002,45
Boston,Food,2024-04,1341322.0717,70026.3259,22
Boston,Lodging,2024-04,1160745.0559,5655.524,9
Boston,Energy,2024-05,39806273.669999994,901363.4937999999,46
Boston,Food,2024-05,1474753.4898000003,74151.45659999999,24
Boston,Lodging,2024-05,1126209.6615999998,4640.9335,9
Boston,Energy,2024-06,39138640.98470001,898833.4432,46
Boston,Food,2024-06,1487545.547,73954.2214,25
Boston,Lodging,2024-06,1218739.3861,4599.7525,9
Boston,Energy,2024-07,39292737.20240001,892535.4612000001,43
Boston,Food,2024-07,1469110.7448,71921.5077,23
Boston,Lodging,2024-07,1049828.2349,4278.1621000000005,9
Boston,Energy,2024-08,38966205.70889999,896480.4437000001,45
Boston,Food,2024-08,1430306.5693,76257.9572,22
Boston,Lodging,2024-08,1388850.6903999997,4828.977000000001,9
Boston,Energy,2024-09,34892272.636099994,834592.4290999998,46
Boston,Food,2024-09,1360254.6701,70336.773,22
Boston,Lodging,2024-09,1106835.8379000002,4452.8188,9
Boston,Energy,2024-10,36408001.95320001,868830.1471999998,45
Boston,Food,2024-10,1519633.5415,79641.1278,21
